,DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA ,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON,year
14508,190514702,08/28/2019 12:00:00 AM,01/01/2010 12:00:00 AM,1200,5,Harbor,524,2,860,BATTERY WITH SEXUAL CONTACT,1804 0522 0913,31,F,H,402.0,MARKET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,860.0,,,,600    WILMINGTON                   BL,,33.7749,-118.2764,2019
53309,191916104,09/04/2019 12:00:00 AM,09/04/2010 12:00:00 AM,1900,19,Mission,1944,1,820,ORAL COPULATION,1817 0507 0559 1258 0532 0536 0506,8,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812.0,820.0,,,14300    FOX                          ST,,34.2726,-118.4447,2019
90897,191311884,05/22/2019 12:00:00 AM,01/01/2010 12:00:00 AM,1900,13,Newton,1367,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1258 0522 0551,6,F,H,109.0,PARK/PLAYGROUND,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812.0,860.0,,,4700    HONDURAS                     ST,,34.001,-118.2441,2019
116387,191821515,10/07/2019 12:00:00 AM,07/09/2010 12:00:00 AM,1210,18,Southeast,1801,2,354,THEFT OF IDENTITY,0100 1822,29,F,I,710.0,OTHER PREMISE,,,IC,Invest Cont,354.0,,,,8800 S  HOOVER                       ST,,33.958,-118.2869,2019
208419,170120572,07/25/2017 12:00:00 AM,07/02/2010 12:00:00 AM,5,1,Central,101,2,354,THEFT OF IDENTITY,0377,23,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,900    NEW DEPOT                    ST,,34.0652,-118.2451,2017
208420,170125600,09/25/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1025,1,Central,153,2,354,THEFT OF IDENTITY,1822,32,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,500 S  SPRING                       ST,,34.0467,-118.252,2017
208421,170207410,03/10/2017 12:00:00 AM,03/09/2010 12:00:00 AM,715,2,Rampart,248,2,624,BATTERY - SIMPLE ASSAULT,0416 0554,-7,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624.0,,,,400    HARTFORD                     AV,,34.0567,-118.2636,2017
208422,170208678,04/05/2017 12:00:00 AM,01/01/2010 12:00:00 AM,900,2,Rampart,231,2,354,THEFT OF IDENTITY,1822,22,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,3100 W  2ND                          ST,,34.0703,-118.2832,2017
208423,170210088,05/04/2017 12:00:00 AM,01/01/2010 12:00:00 AM,1200,2,Rampart,248,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1258 0500 0522 0551 0558 0510,6,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812.0,860.0,,,5TH,COLUMBIA,34.0579,-118.2649,2017
208424,170212270,06/14/2017 12:00:00 AM,09/01/2010 12:00:00 AM,800,2,Rampart,236,2,354,THEFT OF IDENTITY,1822,46,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,300 N  ALVARADO                     ST,,34.0693,-118.2687,2017
208425,170212864,06/22/2017 12:00:00 AM,05/31/2010 12:00:00 AM,1025,2,Rampart,261,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1259 0913 1811 0503 0522,8,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,812.0,860.0,,,2700 W  7TH                          ST,,34.0594,-118.2833,2017
